SOA,SOA Code,All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health
Tavanagh,95LL23W1,2157,809,725,430,145,48
The Birches 1,95LL24S1,2027,1050,662,249,54,12
The Birches 2,95LL24S2,1742,867,549,223,81,22
Waringstown 1,95LL25S1,2583,1451,776,287,61,8
Waringstown 2,95LL25S2,1953,1047,626,206,58,16
Woodville 1,95LL26S1,1519,563,487,320,123,26
Woodville 2,95LL26S2,2179,1212,628,243,81,15
Altnagelvin 1,95MM01S1,1471,592,443,283,132,21
Altnagelvin 2,95MM01S2,1777,968,550,209,40,10
Altnagelvin 3,95MM01S3,1614,799,505,234,64,12
Ballynashallog 1,95MM02S1,1559,743,473,246,68,29
Ballynashallog 2,95MM02S2,1685,1015,467,143,47,13
Banagher,95MM03W1,3508,1847,1047,475,106,33
Beechwood,95MM04W1,2151,923,566,415,179,68
Brandywell,95MM05W1,2495,1020,649,493,245,88
Carn Hill 1,95MM06S1,1376,624,388,262,79,23
Carn Hill 2,95MM06S2,1227,470,394,240,101,22
Caw,95MM07W1,2601,1058,844,523,148,28
Clondermot 1,95MM08S1,1291,525,395,247,98,26
Clondermot 2,95MM08S2,1656,771,522,269,71,23
Claudy 1,95MM09S1,1588,838,485,189,61,15
Claudy 2,95MM09S2,1974,1039,548,288,80,19
Creggan Central 1,95MM10S1,1456,680,420,210,106,40
Creggan Central 2,95MM10S2,1294,571,371,212,112,28
Creggan South,95MM11W1,2277,1013,605,388,195,76
Crevagh 1,95MM12S1,2022,1037,591,266,99,29
Crevagh 2,95MM12S2,1298,625,350,202,84,37
Crevagh 3,95MM12S3,2538,1353,730,303,117,35
Culmore 1,95MM13S1,1205,668,336,160,31,10
Culmore 2,95MM13S2,1236,561,281,244,107,43
Culmore 3,95MM13S3,1569,810,420,213,83,43
Culmore 4,95MM13S4,2553,1407,664,329,121,32
Culmore 5,95MM13S5,2309,1510,583,165,40,11
Ebrington 1,95MM14S1,833,328,250,196,45,14
Ebrington 2,95MM14S2,1736,732,537,316,118,33
Eglinton 1,95MM15S1,1753,810,571,264,86,22
Eglinton 2,95MM15S2,2648,1528,717,289,93,21
Enagh 1 (Derry LGD),95MM16S1,2407,1220,706,331,127,23
Enagh 2 (Derry LGD),95MM16S2,3338,1974,884,338,115,27
Foyle Springs 1,95MM17S1,1962,1116,578,194,61,13
Foyle Springs 2,95MM17S2,1787,802,533,301,121,30
Holly Mount 1,95MM18S1,2241,1150,663,321,89,18
Holly Mount 2,95MM18S2,2939,1643,867,293,107,29
Kilfennan 1,95MM19S1,1558,671,548,271,59,9
Kilfennan 2,95MM19S2,1486,690,538,210,42,6
Lisnagelvin 1,95MM20S1,1614,638,505,342,110,19
Lisnagelvin 2,95MM20S2,1752,709,593,342,87,21
New Buildings 1,95MM21S1,1644,779,493,282,76,14
New Buildings 2,95MM21S2,1762,932,536,224,57,13
Pennyburn 1,95MM22S1,1239,567,408,216,33,15
Pennyburn 2,95MM22S2,1253,557,407,216,50,23
Rosemount,95MM23W1,2521,1175,683,438,178,47
Shantallow East,95MM24W1,2503,1085,746,436,185,51
Shantallow West 1,95MM25S1,1289,593,368,188,107,33
Shantallow West 2,95MM25S2,1458,709,443,182,92,32
Shantallow West 3,95MM25S3,1559,891,378,183,87,20
Shantallow West 4,95MM25S4,2057,1189,564,199,80,25
Springtown 1,95MM26S1,1745,834,500,268,110,33
Springtown 2,95MM26S2,1386,672,427,201,70,16
Strand 1 (Derry LGD),95MM27S1,2002,729,633,411,181,48
Strand 2 (Derry LGD),95MM27S2,1831,815,681,248,65,22
The Diamond,95MM28W1,2351,915,697,491,195,53
Victoria (Derry LGD),95MM29W1,3410,1620,1073,495,178,44
Westland,95MM30W1,2083,823,568,450,191,51
Ardglass 1,95NN01S1,1492,652,469,246,99,26
Ardglass 2,95NN01S2,1686,793,533,258,77,25
Audley's Acre,95NN02W1,2211,1058,741,317,77,18
Ballymaglave 1,95NN03S1,1319,626,428,215,39,11
Ballymaglave 2,95NN03S2,1577,693,532,245,72,35
Ballymote,95NN04W1,2934,1274,884,508,228,40
Ballynahinch East,95NN05W1,2497,1173,821,371,103,29
Castlewellan 1,95NN06S1,1095,477,350,202,51,15
Castlewellan 2,95NN06S2,2447,1270,730,327,89,31
Cathedral 1,95NN07S1,1687,816,554,234,69,14
Cathedral 2,95NN07S2,1571,679,491,305,78,18
Crossgar 1,95NN08S1,1501,684,538,206,58,15
Crossgar 2,95NN08S2,1768,968,496,238,51,15
Derryboy 1,95NN09S1,1695,957,512,185,35,6
Derryboy 2,95NN09S2,1326,612,445,208,53,8
Donard 1,95NN10S1,1507,639,469,305,79,15
Donard 2,95NN10S2,1686,900,519,210,49,8
Drumaness 1,95NN11S1,1784,817,599,270,87,11
Drumaness 2,95NN11S2,2092,1128,682,208,66,8
Dundrum,95NN12W1,2851,1359,973,380,108,31
Dunmore,95NN13W1,3058,1587,962,392,90,27
Killough 1,95NN14S1,1781,902,546,242,66,25
Killough 2,95NN14S2,1778,1002,554,156,49,17
Killyleagh,95NN15W1,2994,1306,1016,500,136,36
Kilmore 1,95NN16S1,1601,821,510,219,34,17
Kilmore 2,95NN16S2,1693,887,556,200,39,11
Murlough,95NN17W1,2256,939,752,404,131,30
Quoile 1,95NN18S1,1179,487,382,222,69,19
Quoile 2,95NN18S2,1523,851,387,215,61,9
Saintfield 1,95NN19S1,1695,872,552,209,48,14
Saintfield 2,95NN19S2,1686,893,555,197,36,5
Seaforde,95NN20W1,3001,1466,977,452,79,27
Shimna,95NN21W1,2687,1220,888,444,105,30
Strangford,95NN22W1,2686,1315,870,383,100,18
Tollymore 1,95NN23S1,1566,860,444,195,52,15
Tollymore 2,95NN23S2,1821,910,564,259,68,20
Altmore,95OO01W1,2592,1359,721,368,114,30
Augher,95OO02W1,2166,1199,621,284,52,10
Aughnacloy,95OO03W1,2651,1345,803,397,87,19
Ballygawley,95OO04W1,2515,1330,658,394,91,42
Ballysaggart,95OO05W1,2730,1133,1009,389,151,48
Benburb,95OO06W1,2860,1436,979,347,83,15
Caledon,95OO07W1,2510,1297,795,322,79,17
Castlecaulfield,95OO08W1,2713,1342,868,396,85,22
Clogher,95OO09W1,2252,1157,683,322,77,13
Coalisland North,95OO10W1,3530,1681,1051,544,203,51
Coalisland South,95OO11W1,2485,1110,743,395,189,48
Coalisland West and Newmills,95OO12W1,2803,1384,908,377,105,29
Coolhill,95OO13W1,2716,1235,1075,297,87,22
Donaghmore,95OO14W1,2588,1373,785,327,81,22
Drumglass,95OO15W1,2357,1031,793,396,108,29
Fivemiletown,95OO16W1,2114,947,724,331,87,25
Killyman,95OO17W1,2724,1395,814,405,87,23
Killymeal,95OO18W1,2891,1356,1053,349,102,31
Moy,95OO19W1,3009,1668,903,339,82,17
Moygashel,95OO20W1,2189,1016,691,375,93,14
Mullaghmore,95OO21W1,2351,1049,830,333,107,32
Washing Bay,95OO22W1,3106,1645,902,405,125,29
Ballinamallard,95PP01W1,2586,1327,823,345,76,15
Belcoo and Garrison,95PP02W1,2541,1226,826,394,74,21
Belleek and Boa,95PP03W1,2540,1296,761,379,80,24
Boho Cleenish and Letterbreen,95PP04W1,3185,1706,997,364,88,30
Brookeborough,95PP05W1,2367,1112,782,384,67,22
Castlecoole 1,95PP06S1,1992,967,635,302,63,25
Castlecoole 2,95PP06S2,1884,909,624,257,79,15
Derrygonnelly,95PP07W1,2812,1429,874,367,112,30
Derrylin,95PP08W1,2678,1538,776,299,48,17
Devenish,95PP09W1,1707,616,546,404,115,26
Donagh,95PP10W1,2387,1288,706,301,78,14
Erne,95PP11W1,2627,1203,856,414,120,34
Florence Court and Kinawley,95PP12W1,2630,1361,810,366,72,21
Irvinestown,95PP13W1,2588,1257,788,399,109,35
Kesh Ederney and Lack 1,95PP14S1,1555,748,499,230,61,17
Kesh Ederney and Lack 2,95PP14S2,2097,951,743,322,68,13
Lisbellaw,95PP15W1,3190,1758,951,388,71,22
Lisnarrick,95PP16W1,1908,910,611,316,52,19
Lisnaskea,95PP17W1,2580,1131,859,427,132,31
Maguiresbridge,95PP18W1,3131,1576,1016,427,96,16
Newtownbutler,95PP19W1,2502,1229,740,409,104,20
Portora,95PP20W1,3117,1443,1058,481,107,28
Rosslea,95PP21W1,2167,1085,692,309,66,15
Rossorry,95PP22W1,2444,1145,773,421,87,18
Tempo,95PP23W1,2590,1269,849,379,73,20
Antiville,95QQ01W1,1483,556,500,325,87,15
Ballycarry,95QQ02W1,2582,1276,864,358,68,16
Ballyloran,95QQ03W1,1096,418,398,203,56,21
Blackcave,95QQ04W1,1635,688,544,291,90,22
Carncastle,95QQ05W1,2875,1400,998,387,74,16
Carnlough,95QQ06W1,2041,899,669,366,84,23
Central (Larne LGD),95QQ07W1,1817,600,648,411,123,35
Craigy Hill,95QQ08W1,1455,513,467,353,106,16
Gardenmore,95QQ09W1,1916,728,690,364,102,32
Glenarm,95QQ10W1,1851,907,654,220,57,13
Glynn,95QQ11W1,2027,988,663,302,56,18
Harbour,95QQ12W1,1811,767,620,331,76,17
Island Magee,95QQ13W1,2568,1132,988,348,84,16
Kilwaughter 1,95QQ14S1,3660,2062,1159,329,93,17
Kilwaughter 2,95QQ14S2,1770,808,678,225,45,14
Town Parks,95QQ15W1,1593,586,600,309,86,12
Aghanloo 1,95RR01S1,2491,1443,705,267,63,13
Aghanloo 2,95RR01S2,1876,986,566,250,65,9
Ballykelly,95RR02W1,1753,760,607,298,72,16
Coolessan,95RR03W1,1422,519,472,303,106,22
Dungiven,95RR04W1,2022,960,610,337,93,22
Enagh 1 (Limavady LGD),95RR05S1,1275,602,414,199,47,13
Enagh 2 (Limavady LGD),95RR05S2,1212,538,361,215,77,21
Feeny,95RR06W1,2206,1095,692,304,92,23
Forest,95RR07W1,2449,1195,790,337,109,18
Glack,95RR08W1,2106,1059,645,288,97,17
Gresteel 1,95RR09S1,2146,1057,645,318,95,31
Gresteel 2,95RR09S2,1525,879,469,122,44,11
Greystone (Limavady LGD),95RR10W1,1338,528,432,269,85,24
Magilligan,95RR11W1,2407,965,805,412,178,47
Rathbrady,95RR12W1,1452,572,542,250,73,15
Roeside,95RR13W1,1429,514,499,312,89,15
The Highlands,95RR14W1,1969,960,631,292,68,18
Upper Glenshane,95RR15W1,2458,1302,749,303,89,15
Ballinderry 1,95SS01S1,2263,1099,729,342,76,17
Ballinderry 2,95SS01S2,2865,1556,925,292,66,26
Ballymacash 1,95SS02S1,2233,1057,818,279,62,17
Ballymacash 2,95SS02S2,2054,1180,650,162,55,7
Ballymacbrennan 1,95SS03S1,1580,827,515,194,36,8
Ballymacbrennan 2,95SS03S2,1792,959,584,198,39,12
Ballymacoss 1,95SS04S1,2325,1074,789,319,110,33
Ballymacoss 2,95SS04S2,1885,955,618,230,63,19
Ballymacoss 3,95SS04S3,3362,1841,1058,353,94,16
Blaris 1,95SS05S1,1572,628,561,292,80,11
Blaris 2,95SS05S2,1803,943,604,195,46,15
Collin Glen 1,95SS06S1,1565,742,460,236,100,27
Collin Glen 2,95SS06S2,2365,1153,605,346,202,59
Collin Glen 3,95SS06S3,1969,850,556,361,152,50
Derryaghy 1,95SS07S1,3775,2265,1041,315,110,44
Derryaghy 2,95SS07S2,1697,942,510,169,60,16
Derryaghy 3,95SS07S3,3992,1936,1250,558,206,42
Dromara 1,95SS08S1,1974,1104,567,241,46,16
Dromara 2,95SS08S2,2724,1400,859,355,91,19
Drumbo 1,95SS09S1,1697,1001,490,171,26,9
Drumbo 2,95SS09S2,1667,900,506,202,43,16
Dunmurry 1,95SS10S1,2199,1184,630,306,62,17
Dunmurry 2,95SS10S2,2180,1308,568,233,59,12
Glenavy 1,95SS11S1,2946,1675,863,297,90,21
Glenavy 2,95SS11S2,2751,1464,861,333,75,18
Harmony Hill,95SS12W1,3054,1456,1042,441,91,24
Hilden 1,95SS13S1,1528,650,499,278,83,18
Hilden 2,95SS13S2,1376,543,474,250,94,15
Hillhall 1,95SS14S1,1420,532,473,306,87,22
Hillhall 2,95SS14S2,1485,752,471,198,60,4
Hillsborough 1,95SS15S1,1793,938,591,191,64,9
Hillsborough 2,95SS15S2,1965,1034,636,229,52,14
Kilwee 1,95SS16S1,1476,741,420,195,94,26
Kilwee 2,95SS16S2,1688,751,426,303,152,56
Knockmore 1,95SS17S1,2749,1343,912,370,108,16
Knockmore 2,95SS17S2,1549,609,552,267,88,33
Lagan Valley 1,95SS18S1,1415,607,454,260,80,14
Lagan Valley 2,95SS18S2,1638,600,528,368,100,42
Lambeg 1,95SS19S1,1305,559,466,214,59,7
Lambeg 2,95SS19S2,1432,637,500,222,56,17
Lisnagarvey,95SS20W1,2605,1128,917,439,95,26
Maghaberry 1,95SS21S1,2332,1271,740,263,47,11
Maghaberry 2,95SS21S2,2384,1243,776,294,56,15
Magheralave 1,95SS22S1,1603,906,498,161,31,7
Magheralave 2,95SS22S2,1687,842,537,238,55,15
Maze 1,95SS23S1,2158,1163,686,244,55,10
Maze 2,95SS23S2,1658,824,532,224,51,27
Moira 1,95SS24S1,2822,1605,846,275,83,13
Moira 2,95SS24S2,2317,1293,676,276,63,9
Old Warren,95SS25W1,2589,970,911,496,182,30
Poleglass 1,95SS26S1,1986,914,543,309,172,48
Poleglass 2,95SS26S2,1795,920,570,206,73,26
Seymour Hill,95SS27W1,2502,979,863,490,125,45
Tonagh,95SS28W1,2594,1077,852,486,135,44
Twinbrook 1,95SS29S1,1261,528,378,218,101,36
Twinbrook 2,95SS29S2,1386,573,383,247,135,48
Wallace Park 1,95SS30S1,1095,654,301,113,15,12
Wallace Park 2,95SS30S2,2283,1149,819,259,46,10
Ballymaguigan,95TT01W1,2748,1467,835,347,69,30
Bellaghy,95TT02W1,2685,1427,777,362,91,28
Castledawson 1,95TT03S1,1586,763,526,216,68,13
Castledawson 2,95TT03S2,1743,930,520,230,49,14
Draperstown,95TT04W1,2984,1507,910,420,115,32
Glebe 1 (Magherafelt LGD),95TT05S1,1799,934,582,200,62,21
Glebe 2 (Magherafelt LGD),95TT05S2,1280,515,435,237,70,23
Gulladuff,95TT06W1,2723,1400,833,389,80,21
Knockcloghrim,95TT07W1,2747,1390,880,373,84,20
Lecumpher,95TT08W1,2724,1375,864,370,92,23
Lower Glenshane 1,95TT09S1,1438,768,425,193,42,10
Lower Glenshane 2,95TT09S2,1479,810,437,180,48,4
Maghera,95TT10W1,2852,1354,889,455,116,38
Swatragh 1,95TT11S1,1699,910,482,227,63,17
Swatragh 2,95TT11S2,1592,902,450,208,27,5
Tobermore,95TT12W1,2641,1312,797,408,106,18
Town Parks East 1,95TT13S1,1520,742,503,200,58,17
Town Parks East 2,95TT13S2,1398,627,436,234,82,19
Town Parks West,95TT14W1,2211,981,765,350,84,31
Upperlands,95TT15W1,2498,1216,754,390,105,33
Valley,95TT16W1,2691,1374,864,348,76,29
Dalriada,95UU06W1,1452,671,500,213,52,16
Glenariff,95UU09W1,1690,936,465,228,47,14
Knocklayd,95UU14W1,1732,788,573,268,82,21
Armoy and Moss-Side and Moyarget,95UU99C1,2045,945,650,336,95,19
Ballylough and Bushmills,95UU99C2,1781,737,644,320,62,18
Bonamargy and Rathlin and Glenshesk,95UU99C3,1872,873,612,291,59,37
Carnmoon and Dunseverick,95UU99C4,1806,876,571,265,80,14
Glenaan and Glendun,95UU99C5,2421,1134,806,380,67,34
Glentaisie and Kinbane,95UU99C6,2251,958,772,387,103,31
Annalong 1,95VV01S1,1656,824,560,206,45,21
Annalong 2,95VV01S2,1555,690,489,279,80,17
Ballybot,95VV02W1,2192,864,702,400,165,61
Bessbrook,95VV03W1,2579,1162,772,428,155,62
Binnian,95VV04W1,3138,1639,998,367,108,26
Burren and Kilbroney 1,95VV05S1,1964,1118,564,216,51,15
Burren and Kilbroney 2,95VV05S2,2542,1523,742,210,56,11
Camlough,95VV06W1,3482,1839,1005,467,137,34
Clonallan 1,95VV07S1,2052,921,667,344,94,26
Clonallan 2,95VV07S2,2341,1368,680,222,54,17
Creggan,95VV08W1,3088,1654,838,444,128,24
Crossmaglen,95VV09W1,2665,1261,781,422,158,43
Daisy Hill 1,95VV10S1,1580,719,484,252,102,23
Daisy Hill 2,95VV10S2,1575,669,503,270,100,33
Derryleckagh 1,95VV11S1,2046,1145,587,230,66,18
Derryleckagh 2,95VV11S2,2412,1429,658,246,62,17
Derrymore 1,95VV12S1,1652,824,491,227,82,28
Derrymore 2,95VV12S2,1543,791,426,221,89,16
Donaghmore 1,95VV13S1,2057,1224,556,217,49,11
Donaghmore 2,95VV13S2,1416,820,379,167,40,10
Drumalane 1,95VV14S1,1966,1021,595,249,82,19
Drumalane 2,95VV14S2,1386,679,398,214,71,24
Drumgullion 1,95VV15S1,1419,645,413,220,107,34
Drumgullion 2,95VV15S2,1679,885,503,182,85,24
Fathom,95VV16W1,3110,1684,898,392,98,38
Forkhill 1,95VV17S1,2205,1142,673,276,97,17
Forkhill 2,95VV17S2,2151,1153,638,277,67,16
Kilkeel Central 1,95VV18S1,1862,950,614,237,47,14
Kilkeel Central 2,95VV18S2,1825,825,562,313,100,25
Kilkeel South 1,95VV19S1,1302,572,423,241,56,10
Kilkeel South 2,95VV19S2,1681,776,536,256,84,29
Lisnacree,95VV20W1,2990,1540,952,374,95,29
Mayobridge 1,95VV21S1,2302,1293,691,223,63,32
Mayobridge 2,95VV21S2,1735,959,541,184,39,12
Newtownhamilton,95VV22W1,2836,1455,879,361,112,29
Rostrevor,95VV23W1,2893,1476,866,413,113,25
Seaview 1,95VV24S1,1532,795,437,225,62,13
Seaview 2,95VV24S2,1535,680,460,268,100,27
Silver Bridge 1,95VV25S1,1845,963,560,231,72,19
Silver Bridge 2,95VV25S2,1925,1116,500,222,69,18
Spelga,95VV26W1,3583,1920,1030,494,108,31
St Mary's,95VV27W1,2284,994,691,404,160,35
St Patrick's 1,95VV28S1,2210,1142,680,274,87,27
St Patrick's 2,95VV28S2,1320,536,408,258,102,16
Tullyhappy,95VV29W1,3366,1947,897,403,93,26
Windsor Hill 1,95VV30S1,1614,874,515,175,35,15
Windsor Hill 2,95VV30S2,1389,598,435,231,101,24
Abbey 1,95WW01S1,1441,605,426,266,125,19
Abbey 2,95WW01S2,1373,589,484,225,60,15
Ballyclare North 1,95WW02S1,1786,774,600,301,89,22
Ballyclare North 2,95WW02S2,2065,1007,709,263,62,24
Ballyclare South 1,95WW03S1,1627,594,572,366,77,18
Ballyclare South 2,95WW03S2,2011,1021,707,230,40,13
Ballyduff 1,95WW04S1,1611,750,562,222,65,12
Ballyduff 2,95WW04S2,1255,524,485,190,41,15
Ballyhenry 1,95WW05S1,1517,738,515,206,51,7
Ballyhenry 2,95WW05S2,1255,497,421,263,57,17
Ballynure 1,95WW06S1,1525,777,543,162,36,7
Ballynure 2,95WW06S2,1622,830,538,196,50,8
Ballyrobert 1,95WW07S1,1809,967,591,204,38,9
Ballyrobert 2,95WW07S2,2446,1195,840,327,62,22
Burnthill 1,95WW08S1,1219,591,415,156,49,8
Burnthill 2,95WW08S2,1340,537,512,229,51,11
Carnmoney 1,95WW09S1,1276,487,443,246,78,22
Carnmoney 2,95WW09S2,1258,494,500,209,46,9
Cloughfern 1,95WW10S1,1718,863,514,235,80,26
Cloughfern 2,95WW10S2,1228,486,421,225,84,12
Collinbridge 1,95WW11S1,1697,915,554,179,40,9
Collinbridge 2,95WW11S2,1381,713,423,181,48,16
Coole,95WW12W1,2409,864,821,477,192,55
Doagh 1,95WW13S1,1840,905,650,234,41,10
Doagh 2,95WW13S2,1834,952,587,241,47,7
Dunanney,95WW14W1,2262,861,707,451,188,55
Glebe 1 (Newtownabbey LGD),95WW15S1,1661,839,539,202,66,15
Glebe 2 (Newtownabbey LGD),95WW15S2,1655,777,572,227,63,16
Glengormley 1,95WW16S1,1668,795,530,246,67,30
Glengormley 2,95WW16S2,1297,495,430,280,71,21
Hawthorne,95WW17W1,2266,900,822,391,122,31
Hightown,95WW18W1,2237,892,800,399,105,41
Jordanstown 1,95WW19S1,1872,847,658,277,71,19
Jordanstown 2,95WW19S2,2047,1253,622,145,22,5
Jordanstown 3,95WW19S3,2306,1435,656,169,39,7
Mallusk 1,95WW20S1,1827,901,650,217,47,12
Mallusk 2,95WW20S2,4574,2802,1342,322,88,20
Mallusk 3,95WW20S3,1937,1069,644,178,38,8
Monkstown 1,95WW21S1,1517,478,540,337,124,38
Monkstown 2,95WW21S2,2026,1062,634,247,67,16
Mossley 1,95WW22S1,1414,635,513,208,42,16
Mossley 2,95WW22S2,1571,621,503,284,126,37
Rostulla 1,95WW23S1,2250,1125,709,307,71,38
Rostulla 2,95WW23S2,2644,1478,908,211,41,6
Valley 1,95WW24S1,1568,632,481,331,105,19
Valley 2,95WW24S2,1926,767,669,338,120,32
Whitehouse,95WW25W1,2071,717,632,470,193,59
Ballycrochan 1,95XX01S1,1730,918,577,187,35,13
Ballycrochan 2,95XX01S2,1930,1125,628,146,24,7
Ballycrochan 3,95XX01S3,1634,811,586,186,41,10
Ballyholme,95XX02W1,2652,1454,826,312,49,11
Ballymaconnell 1,95XX03S1,1246,568,463,169,40,6
Ballymaconnell 2,95XX03S2,1475,732,526,178,34,5
Ballymagee 1,95XX04S1,1748,814,602,279,43,10
Ballymagee 2,95XX04S2,1934,933,688,244,54,15
Bangor Castle,95XX05W1,2627,1081,940,473,102,31
Bloomfield 1 (North Down LGD),95XX06S1,1724,747,645,248,67,17
Bloomfield 2 (North Down LGD),95XX06S2,2054,999,696,253,79,27
Broadway 1,95XX07S1,1420,626,540,195,53,6
Broadway 2,95XX07S2,1425,674,460,234,45,12
Bryansburn 1,95XX08S1,1323,648,463,165,38,9
Bryansburn 2,95XX08S2,1267,532,490,194,44,7
Churchill 1,95XX09S1,1369,513,459,307,76,14
Churchill 2,95XX09S2,1448,670,496,214,58,10
Clandeboye 1,95XX10S1,1777,929,574,203,57,14
Clandeboye 2,95XX10S2,1862,968,672,171,36,15
Clandeboye 3,95XX10S3,1255,535,433,202,66,19
Conlig 1,95XX11S1,2449,1209,867,294,62,17
Conlig 2,95XX11S2,2269,1280,695,199,69,26
Conlig 3,95XX11S3,1545,626,521,259,97,42
Craigavad,95XX12W1,2540,1307,891,270,52,20
Crawfordsburn,95XX13W1,2770,1374,982,322,73,19
Cultra,95XX14W1,2477,1374,788,264,40,11
Dufferin,95XX15W1,2449,976,801,466,156,50
Groomsport,95XX16W1,3005,1271,1094,486,133,21
Harbour 1,95XX17S1,1495,627,552,260,47,9
Harbour 2,95XX17S2,1527,756,542,169,48,12
Holywood Demesne,95XX18W1,3012,1553,924,400,112,23
Holywood Priory,95XX19W1,2675,1408,847,328,71,21
Loughview 1,95XX20S1,1981,781,689,332,143,36
Loughview 2,95XX20S2,1453,918,405,101,19,10
Princetown,95XX21W1,2846,1441,940,382,61,22
Rathgael,95XX22W1,2215,921,801,396,74,23
Silverstream,95XX23W1,3155,1344,1122,534,125,30
Springhill 1,95XX24S1,1336,609,487,195,38,7
Springhill 2,95XX24S2,1369,591,472,246,52,8
Whitehill,95XX25W1,2469,1010,855,449,111,44
Beragh,95YY01W1,2508,1253,773,357,102,23
Camowen,95YY02W1,2283,920,712,453,142,56
Clanabogan,95YY03W1,3177,1709,921,435,82,30
Coolnagard,95YY04W1,3489,1685,1090,505,163,46
Dergmoney,95YY05W1,1675,664,582,301,105,23
Dromore,95YY06W1,2394,1175,678,390,121,30
Drumnakilly,95YY07W1,2916,1444,854,454,131,33
Drumquin,95YY08W1,2231,1128,653,353,79,18
Drumragh,95YY09W1,2315,908,818,441,112,36
Fairy Water,95YY10W1,2142,1144,633,285,64,16
Fintona,95YY11W1,2046,921,591,391,117,26
Gortin,95YY12W1,2836,1455,871,391,89,30
Gortrush 1,95YY13S1,1488,782,441,190,54,21
Gortrush 2,95YY13S2,1345,483,453,276,112,21
Killyclogher 1,95YY14S1,1532,778,435,222,81,16
Killyclogher 2,95YY14S2,1564,794,488,201,69,12
Lisanelly 1,95YY15S1,364,112,130,89,26,7
Lisanelly 2,95YY15S2,1669,729,517,290,110,23
Newtownsaville,95YY16W1,2392,1235,703,357,82,15
Owenkillew,95YY17W1,2350,1224,652,351,99,24
Sixmilecross,95YY18W1,2374,1231,675,369,74,25
Strule,95YY19W1,1496,591,464,313,107,21
Termon,95YY20W1,2330,1234,613,344,112,27
Trillick,95YY21W1,2440,1344,688,308,82,18
Artigarvan,95ZZ01W1,2760,1246,898,471,118,27
Ballycolman,95ZZ02W1,1827,739,508,382,159,39
Castlederg,95ZZ03W1,2109,726,678,464,196,45
Clare,95ZZ04W1,2670,1223,800,455,153,39
Dunnamanagh,95ZZ05W1,2187,1028,634,391,105,29
East,95ZZ06W1,1714,649,468,397,153,47
Finn,95ZZ07W1,2807,1313,851,464,142,37
Glenderg,95ZZ08W1,2593,1153,779,480,148,33
Newtownstewart,95ZZ09W1,2269,974,693,442,116,44
North,95ZZ10W1,3179,1575,930,497,142,35
Plumbridge,95ZZ11W1,2223,1051,705,364,82,21
Sion Mills,95ZZ12W1,2190,890,631,440,171,58
Slievekirk,95ZZ13W1,2533,1205,785,408,112,23
South 1,95ZZ14S1,1876,839,589,325,99,24
South 2,95ZZ14S2,1356,652,444,186,63,11
Victoria Bridge,95ZZ15W1,2288,1081,653,397,123,34
West 1,95ZZ16S1,1911,998,578,243,75,17
West 2,95ZZ16S2,1351,548,386,282,115,20